,ProductId,ProductName
0,060564,S 8 D 70 WCR
1,060568,S 8 RD 80 WCR
2,082662,S 8 RD 80 K
3,083630,S 8 RD 80 K SA
4,060570,S 8 RD 60 WCR
5,018652,WB 5N
6,083628,WCN K
7,060562,WCN 2
8,060561,WCN 1
9,060200,BU M8 MH
10,060201,BU M10 MH
11,060204,BU M12 MH
12,080951,AKM 10 CR
13,080972,AKM 10 W
14,080952,AKM 12 CR
15,554140,"Boilerbefestigung Teleskopausleger 3/4"""
16,080654,BO 120
17,080658,WD 8 x 110
18,080659,WD 8 x 90
19,080655,WD 10 x 120
20,080656,WD 10 x 140
21,080652,WL 8 x 70
22,080650,WL 10 x 80
23,080651,WL 7 x 60
24,567430,WST II 10x140
25,541479,WST Klik 120
26,541480,WST Klik 140
27,014320,WDP 10 x 170
28,080668,UST 10 x 120
29,083578,UST 8 x 110
30,080662,WST 12 x 180
31,082660,WST 140 K
32,083627,WST 10 x 140 K
33,080660,WST 10 x 140
34,080661,WST 12 x 150
35,540764,RM II LA 16 x 165 fvz
36,552098,RM II Set-R 16 x 185/32 8.8 fvz
37,539800,RM II 16
38,539796,RM II 8
39,539797,RM II 10
40,539798,RM II 12
41,539799,RM II 14
42,539803,RM II 24
43,539802,RM II 20/22
44,518829,RSB 30
45,518825,RSB 16
46,518824,RSB 16 mini
47,518828,RSB 20 E/24
48,518823,RSB 12
49,518822,RSB 12 mini
50,518821,RSB 10
51,518820,RSB 10 mini
52,518807,RSB 8
53,518827,RSB 20
54,518826,RSB 16 E
55,507924,FHB II-P 16 x 145
56,096846,FHB II-P 20 x 210
57,508002,FHB II-PF 16 x 145
58,096851,FHB II-P 24 x 170
59,508003,FHB II-PF 20 x 170
60,096847,FHB II-P 10 x 60
61,507925,FHB II-P 20 x 170
62,500547,FHB II-PF 10 x 60
63,507922,FHB II-P 12 x 100
64,508004,FHB II-PF 24 x 210
65,507923,FHB II-P 16 x 125
66,500546,FHB II-PF 20 x 210
67,500550,FHB II-PF 24 x 170
68,500545,FHB II-PF 16 x 160
69,500549,FHB II-PF 16 x 95
70,500548,FHB II-PF 12 x 75
71,096843,FHB II-P 10 x 95
72,507999,FHB II-PF 10 x 75
73,500544,FHB II-PF 12 x 120
74,508000,FHB II-PF 12 x 100
75,508016,FHB II-P 10 x 75
76,096844,FHB II-P 12 x 120
77,507926,FHB II-P 24 x 210
78,096848,FHB II-P 12 x 75
79,500543,FHB II-PF 10 x 95
80,096824,FHB II-P 8 x 60
81,500542,FHB II-PF 8 x 60
82,096849,FHB II-P 16 x 95
83,096845,FHB II-P 16 x 160
84,508001,FHB II-PF 16 x 125
85,050472,FIS H 18 x 85 N
86,050474,FIS H 20 x 85 N
87,050470,FIS H 16 x 85 N
88,050599,FIS H 16 x 1.000 L
89,050598,FIS H 12 x 1.000 L
90,045301,FIS H 22 x 1.000 L
91,000645,FIS H 30 x 1.000 L
92,041900,FIS H 12 x 50 K
93,044578,FIS H 16 x 130 K K
